"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"P8"	"TP7"	"TP8"	"P7"	"Subject"	"Points"	"Time"	"Trial"	"Rejected"	"Correct"
19.6381	17.1204	21.8201	13.4277	17.9596	20.813	10.7422	11.7493	16.449	11.4136	8.0566	9.903	6.3782	3.0212	3.1891	1.8463	1.1749	3.8605	23	231	130	1	1	2
19.8059	16.9525	21.8201	13.9313	17.7917	20.3094	11.0779	11.7493	16.1133	11.5814	8.0566	9.5673	6.0425	2.8534	2.6855	2.0142	0.8392	4.0283	23	232	131	1	1	2
19.8059	16.449	21.3165	14.267	17.4561	19.8059	11.2457	11.5814	15.6097	11.5814	7.8888	9.0637	5.7068	2.6855	2.0142	2.0142	0.6714	4.0283	23	233	132	1	1	2
19.9738	16.2811	21.1487	14.6027	17.4561	19.3024	11.5814	11.5814	15.274	11.7493	7.7209	8.8959	5.5389	2.5177	1.3428	2.182	0.5035	4.0283	23	234	133	1	1	2
19.9738	15.7776	20.9808	14.9384	17.1204	18.7988	11.7493	11.5814	14.7705	11.7493	7.7209	8.2245	5.3711	2.3499	1.0071	2.182	0.3357	3.8605	23	235	134	1	1	2
20.1416	15.6097	20.813	15.274	17.1204	18.2953	12.085	11.5814	14.4348	11.9171	7.5531	8.0566	5.0354	2.0142	0.3357	2.3499	0.1678	3.8605	23	236	135	1	1	2
20.4773	15.6097	20.813	15.6097	17.1204	18.1274	12.5885	11.7493	14.4348	12.2528	7.7209	8.0566	4.8676	1.6785	-0.3357	2.5177	0	4.0283	23	237	136	1	1	2
20.6451	15.4419	20.813	15.9454	17.1204	17.7917	12.9242	11.9171	14.267	12.4207	7.8888	8.0566	4.8676	1.3428	-1.0071	2.6855	-0.1678	4.0283	23	238	137	1	1	2
20.813	15.4419	20.813	16.2811	17.1204	17.6239	13.092	11.9171	14.0991	12.5885	7.8888	8.0566	4.6997	1.0071	-1.5106	2.8534	-0.1678	3.8605	23	239	138	1	1	2
20.9808	15.274	20.813	16.449	16.9525	17.4561	13.2599	11.9171	13.9313	12.7563	7.8888	7.8888	4.6997	0.6714	-2.182	2.6855	-0.3357	3.5248	23	240	139	1	1	2
21.1487	15.274	20.9808	16.6168	17.1204	17.4561	13.5956	12.085	14.0991	13.092	8.0566	7.8888	4.6997	0.3357	-2.6855	2.8534	-0.3357	3.3569	23	241	140	1	1	2
21.4844	15.4419	21.1487	16.9525	17.2882	17.6239	13.7634	12.2528	14.0991	13.2599	8.2245	8.2245	4.8676	0	-3.1891	3.0212	-0.3357	3.1891	23	242	141	1	1	2
21.6522	15.6097	21.4844	17.1204	17.4561	17.9596	14.0991	12.4207	14.267	13.5956	8.2245	8.2245	4.8676	-0.3357	-3.6926	3.0212	-0.3357	3.0212	23	243	142	1	1	2
21.9879	15.7776	21.6522	17.2882	17.4561	18.1274	14.267	12.5885	14.4348	13.7634	8.3923	8.3923	4.6997	-0.8392	-4.364	3.1891	-0.5035	2.6855	23	244	143	1	1	2
22.3236	16.2811	22.1558	17.2882	17.6239	18.4631	14.4348	12.7563	14.6027	13.9313	8.3923	8.5602	4.6997	-1.1749	-4.6997	3.1891	-0.5035	2.3499	23	245	144	1	1	2
22.3236	16.449	22.3236	17.2882	17.6239	18.7988	14.4348	12.7563	14.7705	14.0991	8.2245	8.5602	4.6997	-1.5106	-5.3711	3.1891	-0.5035	1.8463	23	246	145	1	1	2
22.4915	16.7847	22.4915	17.2882	17.7917	19.1345	14.4348	12.7563	14.9384	14.0991	8.2245	8.3923	4.5319	-1.8463	-5.8746	3.1891	-0.6714	1.3428	23	247	146	1	1	2
22.3236	16.7847	22.4915	17.1204	17.6239	19.4702	14.0991	12.5885	15.1062	13.9313	7.8888	8.2245	4.364	-2.182	-6.7139	3.0212	-0.8392	0.8392	23	248	147	1	1	2
22.1558	16.7847	22.4915	16.9525	17.4561	19.6381	13.7634	12.4207	15.1062	13.7634	7.5531	8.0566	4.364	-2.3499	-7.0496	2.6855	-0.8392	0	23	249	148	1	1	2
22.1558	17.1204	22.6593	16.7847	17.4561	20.1416	13.5956	12.2528	15.1062	13.7634	7.2174	7.8888	4.0283	-2.6855	-7.7209	2.3499	-1.1749	-0.6714	23	250	149	1	1	2
21.9879	17.2882	22.8271	16.6168	17.2882	20.3094	13.2599	12.085	15.274	13.4277	6.7139	7.3853	3.6926	-2.8534	-8.2245	1.8463	-1.3428	-1.8463	23	251	150	1	1	2
21.8201	17.4561	22.995	16.449	17.2882	20.6451	13.092	11.7493	15.274	13.4277	6.3782	7.2174	3.5248	-2.8534	-8.5602	1.5106	-1.3428	-2.6855	23	252	151	1	1	2
21.8201	17.7917	22.8271	16.2811	17.1204	20.9808	12.7563	11.4136	15.4419	13.092	5.8746	6.8817	3.3569	-2.8534	-8.728	0.8392	-1.3428	-3.6926	23	253	152	1	1	2
21.6522	17.7917	23.1628	16.2811	16.9525	21.4844	12.7563	11.2457	15.4419	12.9242	5.3711	6.7139	3.1891	-2.6855	-8.8959	0.3357	-1.1749	-4.5319	23	254	153	1	1	2
21.6522	18.1274	23.3307	16.1133	16.9525	21.8201	12.4207	10.91	15.4419	12.7563	4.8676	6.3782	3.1891	-2.3499	-8.728	-0.1678	-1.0071	-5.3711	23	255	154	1	1	2
21.6522	18.2953	23.3307	16.1133	16.9525	22.3236	12.4207	10.7422	15.6097	12.9242	4.364	6.2103	3.0212	-2.182	-8.728	-0.8392	-1.0071	-6.3782	23	256	155	1	1	2
21.6522	18.631	23.6664	16.2811	16.9525	22.6593	12.5885	10.4065	15.7776	12.9242	3.8605	6.0425	3.1891	-1.6785	-8.2245	-1.5106	-0.5035	-7.2174	23	257	156	1	1	2
21.8201	19.1345	24.0021	16.449	17.1204	23.1628	12.7563	10.2386	15.9454	13.092	3.1891	5.8746	3.1891	-1.3428	-8.0566	-1.8463	-0.1678	-8.2245	23	258	157	1	1	2
21.9879	19.4702	24.3378	16.6168	16.9525	23.4985	12.9242	9.903	16.1133	13.092	2.5177	5.5389	3.3569	-0.8392	-7.5531	-2.5177	0.1678	-8.8959	23	259	158	1	1	2
22.4915	20.3094	24.6735	17.2882	17.2882	24.1699	13.2599	9.903	16.449	13.5956	2.3499	5.5389	3.6926	-0.3357	-7.0496	-2.8534	0.6714	-9.7351	23	260	159	1	1	2
22.8271	20.6451	25.177	17.7917	17.4561	24.8413	13.5956	9.5673	16.6168	13.7634	1.6785	5.5389	3.8605	0.1678	-6.3782	-3.3569	1.1749	-10.4065	23	261	160	1	1	2
23.3307	21.3165	25.6805	18.2953	17.7917	25.3448	13.9313	9.3994	16.9525	13.9313	1.5106	5.2032	4.1962	0.8392	-5.7068	-3.6926	2.0142	-10.91	23	262	161	1	1	2
24.0021	21.9879	26.3519	18.9667	17.9596	25.8484	14.6027	9.3994	17.1204	14.4348	1.1749	5.2032	4.5319	1.3428	-5.0354	-3.8605	2.5177	-11.4136	23	263	162	1	1	2
24.6735	22.8271	27.0233	19.6381	18.2953	26.3519	15.1062	9.3994	17.4561	14.9384	0.8392	5.2032	4.8676	1.8463	-4.5319	-4.0283	3.0212	-11.7493	23	264	163	1	1	2
25.5127	23.4985	27.6947	20.4773	18.631	26.8555	15.7776	9.5673	17.7917	15.4419	0.8392	5.3711	5.2032	2.3499	-3.8605	-4.1962	3.6926	-11.9171	23	265	164	1	1	2
26.5198	24.3378	28.3661	21.3165	18.9667	27.359	16.449	9.7351	18.1274	15.9454	0.6714	5.7068	5.7068	2.8534	-3.1891	-4.0283	4.364	-11.9171	23	266	165	1	1	2
27.359	25.177	29.2053	22.1558	19.4702	27.6947	17.2882	10.0708	18.4631	16.6168	0.6714	5.8746	6.0425	3.1891	-2.6855	-3.8605	4.8676	-12.085	23	267	166	1	1	2
