"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"P8"	"TP7"	"TP8"	"P7"	"Subject"	"Points"	"Time"	"Trial"	"Rejected"	"Correct"
-13.4277	-10.0708	-14.267	-13.092	-5.2032	-12.2528	-11.2457	-3.0212	-7.3853	-8.2245	-0.5035	-2.182	-6.0425	-1.1749	-7.5531	-2.8534	-11.0779	-3.0212	52	231	130	1	1	2
-12.5885	-9.0637	-13.092	-12.4207	-4.0283	-11.0779	-11.0779	-2.0142	-6.7139	-8.5602	0	-1.8463	-6.0425	-1.1749	-7.5531	-2.3499	-11.0779	-2.6855	52	232	131	1	1	2
-11.4136	-7.7209	-11.7493	-11.5814	-2.8534	-9.7351	-10.91	-1.0071	-5.7068	-8.5602	1.0071	-1.0071	-5.7068	-1.1749	-7.3853	-1.8463	-11.0779	-2.0142	52	233	132	1	1	2
-10.5743	-6.7139	-10.4065	-10.7422	-1.6785	-8.5602	-10.7422	-0.1678	-4.8676	-8.8959	1.5106	-0.6714	-5.7068	-1.0071	-7.2174	-1.5106	-10.7422	-1.8463	52	234	133	1	1	2
-9.3994	-5.3711	-9.0637	-9.7351	-0.6714	-7.2174	-10.2386	0.6714	-3.8605	-8.728	2.182	0	-5.2032	-0.8392	-6.8817	-1.0071	-10.4065	-1.5106	52	235	134	1	1	2
-8.2245	-4.1962	-7.3853	-8.8959	0.5035	-6.0425	-10.0708	1.5106	-3.0212	-8.728	2.8534	0.6714	-5.0354	-0.6714	-6.3782	-0.6714	-9.903	-1.3428	52	236	135	1	1	2
-7.0496	-2.8534	-5.8746	-7.7209	1.5106	-4.364	-9.5673	2.5177	-1.8463	-8.5602	3.6926	1.3428	-4.5319	-0.5035	-5.8746	-0.1678	-9.5673	-1.0071	52	237	136	1	1	2
-5.8746	-1.8463	-4.6997	-7.0496	2.5177	-3.3569	-9.0637	3.3569	-1.0071	-8.5602	4.1962	1.8463	-4.364	-0.1678	-5.3711	0	-9.0637	-1.0071	52	238	137	1	1	2
-4.6997	-0.5035	-3.0212	-6.2103	3.5248	-2.0142	-8.728	4.1962	0	-8.2245	4.8676	2.6855	-3.8605	0.1678	-4.6997	0.5035	-8.3923	-0.8392	52	239	138	1	1	2
-3.6926	0.5035	-1.6785	-5.2032	4.5319	-0.8392	-8.3923	4.8676	1.0071	-8.0566	5.5389	3.3569	-3.3569	0.3357	-4.0283	0.8392	-7.8888	-0.8392	52	240	139	1	1	2
