"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"P8"	"TP7"	"TP8"	"P7"	"Subject"	"Points"	"Time"	"Trial"	"Rejected"	"Correct"
13.5956	14.9384	19.1345	10.4065	13.7634	20.813	9.0637	13.5956	17.9596	12.085	14.267	16.7847	11.4136	-2.5177	2.0142	8.728	0.5035	11.0779	46	231	130	1	1	2
12.7563	14.6027	18.631	10.0708	13.5956	20.4773	9.2316	13.4277	17.7917	12.7563	14.0991	16.449	11.5814	-2.6855	2.0142	9.3994	0.6714	11.4136	46	232	131	1	1	2
11.9171	14.267	18.1274	9.3994	13.2599	20.1416	9.2316	13.2599	17.4561	13.2599	14.0991	16.2811	11.7493	-2.8534	2.0142	9.7351	0.8392	11.4136	46	233	132	1	1	2
11.0779	13.9313	17.4561	8.8959	12.9242	19.8059	9.3994	13.092	17.2882	13.7634	13.9313	16.1133	11.9171	-2.8534	2.182	10.0708	1.1749	11.5814	46	234	133	1	1	2
10.2386	13.9313	16.6168	8.2245	12.7563	19.6381	9.2316	13.092	17.2882	14.0991	13.9313	16.1133	12.085	-3.0212	2.0142	10.5743	1.3428	11.7493	46	235	134	1	1	2
9.5673	13.5956	16.1133	7.7209	12.5885	19.3024	9.2316	12.9242	17.1204	14.6027	13.7634	16.1133	12.2528	-3.0212	2.182	10.7422	1.5106	11.7493	46	236	135	1	1	2
8.728	13.4277	15.4419	7.0496	12.4207	18.9667	9.0637	12.7563	17.1204	14.7705	13.9313	16.1133	12.2528	-3.1891	2.0142	10.91	1.5106	11.7493	46	237	136	1	1	2
8.0566	13.2599	14.7705	6.3782	12.085	18.4631	8.728	12.5885	17.1204	14.7705	13.7634	16.1133	12.2528	-3.3569	1.6785	10.91	1.6785	11.5814	46	238	137	1	1	2
7.3853	13.092	14.0991	6.0425	11.9171	18.4631	8.728	12.5885	16.9525	15.1062	13.7634	16.1133	12.4207	-3.3569	1.6785	10.7422	1.8463	11.4136	46	239	138	1	1	2
6.7139	12.9242	13.4277	5.2032	11.7493	18.1274	8.3923	12.4207	16.9525	14.9384	13.5956	16.2811	12.2528	-3.5248	1.5106	10.5743	1.8463	11.2457	46	240	139	1	1	2
6.0425	12.9242	12.9242	4.6997	11.5814	17.7917	8.0566	12.4207	16.7847	14.9384	13.5956	16.1133	12.2528	-3.6926	1.1749	10.2386	1.8463	10.91	46	241	140	1	1	2
5.5389	12.7563	12.4207	4.1962	11.5814	17.4561	7.7209	12.4207	16.7847	14.7705	13.5956	16.2811	12.085	-3.8605	1.0071	9.7351	1.6785	10.7422	46	242	141	1	1	2
5.0354	12.9242	11.9171	3.6926	11.5814	17.2882	7.0496	12.4207	16.9525	14.4348	13.7634	16.449	11.7493	-4.0283	0.5035	9.5673	1.6785	10.5743	46	243	142	1	1	2
4.364	12.7563	11.4136	3.3569	11.5814	16.7847	6.7139	12.4207	16.9525	14.0991	13.7634	16.6168	11.5814	-4.1962	0.1678	9.0637	1.5106	10.2386	46	244	143	1	1	2
4.1962	12.7563	11.0779	2.8534	11.7493	16.7847	6.3782	12.5885	16.9525	13.9313	13.9313	16.7847	11.5814	-4.1962	0.1678	8.728	1.3428	10.0708	46	245	144	1	1	2
4.0283	13.092	10.7422	2.6855	11.9171	16.6168	6.0425	13.092	17.1204	13.5956	14.267	17.1204	11.4136	-4.364	-0.1678	8.5602	1.1749	10.0708	46	246	145	1	1	2
3.8605	13.4277	10.7422	2.5177	12.2528	16.7847	5.8746	13.4277	17.1204	13.2599	14.267	17.2882	11.2457	-4.364	-0.1678	8.2245	1.1749	9.903	46	247	146	1	1	2
3.6926	13.4277	10.4065	2.3499	12.7563	16.7847	5.5389	13.7634	17.1204	12.9242	14.6027	17.6239	11.0779	-4.5319	-0.3357	7.8888	0.8392	9.903	46	248	147	1	1	2
3.6926	14.0991	10.4065	2.182	13.4277	16.6168	5.3711	14.4348	17.6239	12.4207	15.1062	17.9596	10.91	-4.6997	-0.5035	7.8888	0.6714	9.903	46	249	148	1	1	2
3.8605	14.4348	10.5743	2.5177	13.9313	16.9525	5.5389	15.1062	17.7917	12.4207	15.4419	18.1274	11.0779	-4.6997	-0.5035	7.7209	0.6714	10.0708	46	250	149	1	1	2
3.8605	15.1062	10.7422	2.8534	14.6027	17.1204	5.5389	15.6097	18.1274	12.085	16.1133	18.4631	10.91	-4.8676	-0.6714	7.7209	0.5035	10.2386	46	251	150	1	1	2
4.364	15.7776	10.91	3.3569	15.274	17.6239	5.8746	16.449	18.631	11.9171	16.7847	18.7988	10.7422	-4.8676	-0.6714	7.7209	0.5035	10.5743	46	252	151	1	1	2
4.8676	16.2811	11.4136	4.0283	15.9454	18.1274	6.3782	16.9525	18.9667	11.9171	17.1204	18.9667	10.91	-4.8676	-0.5035	7.5531	0.6714	10.4065	46	253	152	1	1	2
5.5389	17.1204	11.9171	4.8676	16.7847	18.631	6.8817	17.7917	19.1345	11.9171	17.7917	19.3024	10.91	-4.8676	-0.5035	7.5531	0.5035	10.5743	46	254	153	1	1	2
