"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"P8"	"TP7"	"TP8"	"P7"	"Subject"	"Points"	"Time"	"Trial"	"Rejected"	"Correct"
3.8605	1.5106	6.2103	11.9171	4.5319	8.728	9.3994	6.2103	4.0283	3.0212	3.3569	2.8534	0.5035	1.5106	3.8605	-0.3357	6.7139	0.5035	17	221	120	1	1	2
3.5248	1.8463	6.546	11.9171	5.3711	9.5673	9.5673	7.8888	5.7068	3.8605	5.7068	4.8676	2.0142	1.5106	5.0354	0.3357	7.2174	2.3499	17	222	121	1	1	2
3.6926	2.5177	7.0496	12.2528	6.3782	10.5743	10.0708	9.5673	7.7209	5.0354	8.3923	7.2174	3.8605	1.6785	6.0425	1.1749	7.8888	4.6997	17	223	122	1	1	2
4.0283	3.1891	7.7209	12.5885	7.5531	12.085	10.7422	11.7493	9.5673	6.0425	10.91	9.5673	5.5389	1.6785	6.8817	2.3499	8.3923	7.0496	17	224	123	1	1	2
4.5319	4.5319	8.728	13.092	8.8959	13.2599	11.2457	13.5956	11.2457	7.0496	13.4277	11.5814	7.0496	1.5106	7.2174	3.5248	8.5602	9.2316	17	225	124	1	1	2
5.2032	5.8746	9.903	13.5956	10.5743	14.4348	11.7493	15.4419	13.4277	8.3923	15.9454	13.9313	8.8959	1.5106	7.7209	5.0354	8.8959	11.7493	17	226	125	1	1	2
6.0425	7.5531	11.0779	14.267	12.085	16.1133	12.5885	17.6239	15.6097	9.5673	18.631	16.449	10.4065	1.5106	8.0566	6.7139	9.2316	14.0991	17	227	126	1	1	2
7.2174	9.2316	12.5885	14.6027	13.5956	17.6239	13.4277	19.3024	17.4561	10.7422	20.6451	18.4631	12.085	1.3428	7.8888	8.2245	9.2316	16.1133	17	228	127	1	1	2
8.3923	11.2457	14.0991	15.274	15.1062	19.1345	14.0991	20.9808	19.4702	12.085	22.8271	20.4773	13.5956	1.3428	7.7209	9.903	9.3994	17.9596	17	229	128	1	1	2
9.7351	13.092	15.6097	15.7776	16.7847	20.6451	14.9384	22.6593	21.3165	13.2599	24.5056	22.4915	15.1062	1.3428	7.2174	11.2457	9.5673	19.4702	17	230	129	1	1	2
11.4136	14.9384	16.9525	16.2811	18.2953	21.9879	15.6097	24.0021	22.8271	14.267	25.6805	24.0021	16.1133	1.1749	6.3782	12.4207	9.2316	20.6451	17	231	130	1	1	2
12.9242	17.1204	18.4631	16.9525	19.6381	23.4985	16.2811	25.0092	24.5056	15.274	26.8555	25.3448	17.2882	1.1749	5.5389	13.7634	9.2316	21.4844	17	232	131	1	1	2
14.4348	19.1345	19.9738	17.4561	21.1487	25.0092	17.2882	26.0162	26.0162	16.449	27.6947	26.6876	18.1274	1.1749	4.6997	14.7705	9.0637	22.1558	17	233	132	1	1	2
15.9454	21.1487	21.3165	17.7917	22.3236	26.0162	17.6239	26.5198	27.0233	17.2882	28.0304	27.5269	18.7988	1.0071	3.5248	15.7776	8.728	22.1558	17	234	133	1	1	2
17.4561	22.8271	22.4915	18.2953	23.4985	27.1912	18.2953	27.0233	28.0304	17.7917	28.0304	28.1982	19.1345	0.8392	1.8463	16.6168	8.2245	21.9879	17	235	134	1	1	2
18.7988	24.5056	23.4985	18.631	24.3378	28.1982	18.7988	27.359	28.8696	18.2953	27.6947	28.5339	19.3024	0.6714	0.5035	17.2882	7.8888	21.3165	17	236	135	1	1	2
