"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"P8"	"TP7"	"TP8"	"P7"	"Subject"	"Points"	"Time"	"Trial"	"Rejected"	"Correct"
-3.6926	-3.3569	-8.2245	-3.6926	-2.8534	-3.1891	-4.1962	-1.5106	-4.364	-3.1891	-0.1678	-2.6855	-2.3499	3.1891	1.5106	-6.8817	0.8392	-0.6714	60	271	170	2	1	2
-4.0283	-3.5248	-8.3923	-3.8605	-2.8534	-3.3569	-4.1962	-1.1749	-4.364	-3.3569	0.3357	-2.5177	-2.182	3.1891	1.5106	-6.7139	0.8392	-0.3357	60	272	171	2	1	2
-4.1962	-3.3569	-8.728	-4.0283	-2.6855	-3.3569	-4.364	-0.8392	-4.364	-3.1891	0.6714	-2.3499	-2.182	3.1891	1.5106	-6.546	0.8392	-0.1678	60	273	172	2	1	2
-4.5319	-3.5248	-8.728	-4.1962	-2.5177	-3.5248	-4.5319	-0.6714	-4.364	-3.1891	1.0071	-2.0142	-2.182	3.1891	1.6785	-6.2103	1.0071	0.1678	60	274	173	2	1	2
-4.5319	-3.5248	-9.0637	-4.1962	-2.3499	-3.5248	-4.5319	-0.3357	-4.364	-3.1891	1.5106	-1.6785	-2.0142	3.1891	1.8463	-6.0425	1.0071	0.3357	60	275	174	2	1	2
-4.6997	-3.5248	-9.2316	-4.1962	-2.3499	-3.6926	-4.5319	-0.1678	-4.0283	-3.0212	2.0142	-1.5106	-2.0142	3.1891	2.0142	-5.8746	1.1749	0.6714	60	276	175	2	1	2
-4.8676	-3.5248	-9.2316	-4.1962	-2.182	-3.6926	-4.364	0.1678	-4.0283	-2.8534	2.3499	-1.1749	-1.8463	3.1891	2.3499	-5.7068	1.5106	0.8392	60	277	176	2	1	2
-4.8676	-3.5248	-9.2316	-4.0283	-2.182	-3.6926	-4.1962	0.3357	-3.8605	-2.6855	2.6855	-0.8392	-1.6785	3.1891	2.5177	-5.5389	1.6785	1.1749	60	278	177	2	1	2
-5.0354	-3.5248	-9.2316	-4.0283	-2.0142	-3.5248	-4.0283	0.5035	-3.6926	-2.5177	3.0212	-0.5035	-1.5106	3.1891	2.8534	-5.3711	2.0142	1.3428	60	279	178	2	1	2
-5.0354	-3.5248	-9.2316	-3.8605	-1.8463	-3.5248	-3.8605	0.6714	-3.5248	-2.3499	3.3569	-0.1678	-1.3428	3.1891	3.1891	-5.2032	2.182	1.6785	60	280	179	2	1	2
-5.2032	-3.5248	-9.3994	-3.6926	-1.8463	-3.3569	-3.8605	0.8392	-3.3569	-2.182	3.5248	0.1678	-1.1749	3.1891	3.3569	-5.0354	2.3499	2.0142	60	281	180	2	1	2
-5.2032	-3.5248	-9.3994	-3.6926	-1.6785	-3.3569	-3.6926	1.0071	-3.1891	-2.0142	3.8605	0.3357	-1.0071	3.1891	3.6926	-4.8676	2.6855	2.182	60	282	181	2	1	2
-5.3711	-3.6926	-9.5673	-3.6926	-1.6785	-3.3569	-3.6926	1.1749	-3.0212	-1.8463	4.0283	0.6714	-0.8392	3.1891	3.8605	-4.6997	2.8534	2.5177	60	283	182	2	1	2
-5.5389	-3.6926	-9.7351	-3.6926	-1.6785	-3.3569	-3.6926	1.1749	-3.0212	-1.6785	4.0283	0.8392	-0.8392	3.1891	4.0283	-4.5319	3.0212	2.6855	60	284	183	2	1	2
-5.7068	-3.6926	-9.903	-3.8605	-1.6785	-3.3569	-3.6926	1.1749	-2.8534	-1.5106	4.1962	1.0071	-0.8392	3.1891	4.1962	-4.5319	3.1891	2.8534	60	285	184	2	1	2
-5.8746	-3.5248	-10.0708	-3.8605	-1.5106	-3.1891	-3.5248	1.3428	-2.6855	-1.3428	4.364	1.3428	-0.6714	3.3569	4.364	-4.1962	3.3569	2.8534	60	286	185	2	1	2
-6.0425	-3.5248	-10.2386	-4.0283	-1.5106	-3.1891	-3.5248	1.1749	-2.6855	-1.1749	4.364	1.3428	-0.6714	3.3569	4.5319	-4.1962	3.5248	2.8534	60	287	186	2	1	2
-5.8746	-3.5248	-10.0708	-4.1962	-1.5106	-3.1891	-3.6926	1.1749	-2.5177	-1.0071	4.364	1.5106	-0.6714	3.5248	4.6997	-4.1962	3.5248	3.0212	60	288	187	2	1	2
-5.8746	-3.1891	-10.0708	-4.364	-1.3428	-2.8534	-3.5248	1.3428	-2.3499	-0.8392	4.5319	1.8463	-0.5035	3.5248	4.8676	-4.0283	3.6926	3.0212	60	289	188	2	1	2
-6.0425	-3.1891	-10.0708	-4.5319	-1.1749	-2.8534	-3.5248	1.3428	-2.182	-0.6714	4.6997	1.8463	-0.3357	3.6926	5.0354	-4.0283	3.6926	3.1891	60	290	189	2	1	2
-5.8746	-2.8534	-9.903	-4.5319	-1.0071	-2.3499	-3.3569	1.5106	-1.8463	-0.3357	4.8676	2.182	-0.1678	3.8605	5.2032	-3.8605	3.8605	3.3569	60	291	190	2	1	2
-5.5389	-2.5177	-9.7351	-4.364	-0.8392	-2.0142	-3.1891	1.8463	-1.5106	0.1678	5.2032	2.5177	0	3.8605	5.3711	-3.5248	4.0283	3.3569	60	292	191	2	1	2
-5.7068	-2.182	-9.3994	-4.5319	-0.5035	-1.8463	-3.1891	1.8463	-1.3428	0.3357	5.2032	2.6855	0.3357	4.0283	5.5389	-3.5248	4.0283	3.5248	60	293	192	2	1	2
-5.3711	-1.6785	-9.2316	-4.5319	-0.1678	-1.3428	-2.8534	2.0142	-1.0071	0.6714	5.5389	3.0212	0.5035	4.0283	5.7068	-3.3569	4.1962	3.8605	60	294	193	2	1	2
-5.3711	-1.5106	-9.0637	-4.364	0	-1.1749	-2.8534	2.182	-0.6714	0.8392	5.7068	3.0212	0.6714	4.1962	5.7068	-3.3569	4.1962	4.0283	60	295	194	2	1	2
-4.8676	-0.8392	-8.5602	-4.364	0.5035	-0.6714	-2.6855	2.3499	0	1.1749	6.0425	3.3569	0.8392	4.1962	5.8746	-3.1891	4.364	4.0283	60	296	195	2	1	2
-4.8676	-0.6714	-8.2245	-4.364	0.6714	-0.1678	-2.5177	2.5177	0.3357	1.3428	6.2103	3.6926	1.0071	4.1962	6.0425	-3.0212	4.1962	4.1962	60	297	196	2	1	2
-5.0354	-0.5035	-8.2245	-4.364	0.8392	0	-2.6855	2.5177	0.3357	1.3428	6.2103	3.6926	1.0071	4.1962	5.8746	-3.1891	4.0283	4.364	60	298	197	2	1	2
-4.8676	-0.1678	-7.8888	-4.364	1.0071	0.1678	-2.5177	2.6855	0.6714	1.5106	6.546	3.8605	1.1749	4.0283	5.8746	-3.0212	4.364	4.364	60	299	198	2	1	2
-4.6997	0	-7.7209	-4.1962	1.3428	0.3357	-2.5177	2.8534	0.8392	1.6785	6.7139	3.8605	1.1749	4.0283	5.8746	-2.8534	4.1962	4.6997	60	300	199	2	1	2
-4.364	0.3357	-7.3853	-4.0283	1.6785	0.6714	-2.3499	3.0212	1.1749	1.8463	6.7139	4.0283	1.3428	3.8605	5.8746	-2.6855	4.1962	4.6997	60	301	200	2	1	2
-4.364	0.5035	-7.2174	-3.8605	1.8463	0.8392	-2.182	3.1891	1.1749	1.8463	6.8817	4.0283	1.5106	3.6926	5.8746	-2.5177	4.0283	4.8676	60	302	201	2	1	2
-4.1962	0.6714	-7.0496	-3.8605	2.0142	1.0071	-2.182	3.3569	1.3428	1.8463	6.8817	3.8605	1.3428	3.5248	5.7068	-2.3499	4.0283	5.0354	60	303	202	2	1	2
-4.1962	0.6714	-6.8817	-3.8605	2.182	1.0071	-2.182	3.3569	1.3428	1.6785	6.8817	3.8605	1.3428	3.3569	5.5389	-2.182	3.8605	5.2032	60	304	203	2	1	2
-4.1962	0.6714	-6.7139	-3.8605	2.0142	1.0071	-2.182	3.3569	1.1749	1.5106	6.8817	3.6926	1.3428	3.1891	5.5389	-2.0142	3.6926	5.3711	60	305	204	2	1	2
-4.1962	0.6714	-6.7139	-3.8605	2.0142	0.8392	-2.182	3.3569	1.1749	1.3428	6.8817	3.3569	1.1749	3.0212	5.3711	-1.8463	3.3569	5.5389	60	306	205	2	1	2
